,file,status
0,sample1,collected
1,sample2,processed
2,sample3,pushed
3,GaneshChaturthi_2022-08-23_1661266748-4144251,pushed
4,GaneshChaturthi_2022-08-23_1661339828-766175,collected
5,Ganesh_Chaturthi_2022-08-24_1661341590-7451158,pushed
6,Ganesh_Chaturthi_2022-08-24_1661342840-7980802,pushed
7,iphone_2022-08-24_1661343174-0983868,pushed
8,iphone_2022-09-05_1662459842-5998905,preprocessed
9,iphone_2022-09-05_1662465469-5137599,collected
10,iphone_2022-09-05_1662465838-260414,preprocessed
11,iphone_2022-09-05_1662465912-9329245,preprocessed
12,iphone_2022-09-05_1662466173-105323,preprocessed
13,iphone_2022-09-05_1662466231-4608889,collected
14,iphone_2022-09-06_1662467174-49046,collected
15,IPHONE_2022-09-05_1662541225-0191417,collected
16,iphone_2022-09-05_1662542479-663238,preprocessed
17,iphone_2022-09-07_1662542696-670291,preprocessed
18,iphone_2022-09-05_1662546336-500447,preprocessed
19,iphone_2022-09-05_1662546437-610455,preprocessed
20,iphone_2022-09-05_1662546505-9202473,preprocessed
21,iphone_2022-09-07_1662550269-3389757,collected
22,iphone_2022-09-07_1662550351-2399926,collected
23,iphone_2022-09-07_1662560274-1712222,collected
24,iphone_2022-09-07_1662560555-9517527,collected
25,iphone_2022-09-07_1662560827-8449519,collected
26,iphone_2022-09-07_1662570922-5570781,collected
27,iphone_2022-09-06_1662615433-378571,collected
28,iphone_2022-09-06_1662617263-9107945,collected
29,iphone_2022-09-06_1662617676-3789885,collected
30,iphone_2022-09-07_1662619509-7422945,collected
31,iphone_2022-09-07_1662619811-8288927,collected
32,iphone_2022-09-07_1662626398-039003,collected
33,iphone_2022-09-07_1662626477-9960973,collected
34,iphone_2022-09-07_1662626579-8961127,collected
35,iphone_2022-09-07_1662626730-9297485,collected
36,iphone_2022-09-07_1662626912-5361018,collected
37,iphone_2022-09-07_1662626969-99822,preprocessed
38,iphone_2022-09-07_1662628993-789816,collected
39,iphone_2022-09-07_1662630258-698141,preprocessed
40,iphone_2022-09-07_1662631936-1075716,collected
41,iphone_2022-09-07_1662632035-923491,collected
42,iphone_2022-09-07_1662632240-3379793,collected
43,iphone_2022-09-07_1662632318-8979297,collected
44,iphone_2022-09-07_1662632375-7762735,collected
45,iphone_2022-09-07_1662632461-9565454,collected
46,iphone_2022-09-07_1662632728-1605144,collected
47,iphone_2022-09-07_1662632860-0289187,collected
48,iphone_2022-09-07_1662632939-320321,collected
49,iphone_2022-09-07_1662635469-9082417,preprocessed
50,iphone_2022-09-07_1662635636-2912188,preprocessed
51,iphone_2022-09-07_1662636886-264125,preprocessed
52,iphone_2022-09-07_1662636926-930005,preprocessed
53,iphone_2022-09-07_1662637228-8525333,preprocessed
54,iphone_2022-09-07_1662637626-952832,preprocessed
55,iphone_2022-09-07_1662638139-6929905,preprocessed
56,iphone_2022-09-07_1662638439-7643106,preprocessed
57,iphone_2022-09-07_1662638869-9909372,preprocessed
58,iphone_2022-09-07_1662639828-1787052,preprocessed
59,iphone_2022-09-07_1662639923-5621886,preprocessed
60,iphone_2022-09-07_1662701936-2843974,preprocessed
61,iphone_2022-09-07_1662703949-5059772,preprocessed
62,iphone_2022-09-07_1662704507-6059966,preprocessed
63,iphone_2022-09-07_1662704596-8301437,preprocessed
64,iphone_2022-08-31_1662719491-947317,preprocessed
65,iphone_2022-08-31_1662719549-6037602,preprocessed
66,iphone_2022-08-31_1662722832-7682483,collected
67,iphone_2022-09-05_2022-09-07,preprocessed
68,iphone_2022-05-24_1662793000-9649951,collected
69,iphone_2022-09-09_1662795217-982539,collected
70,iphone_2022-09-09_1662795422-2612128,collected
71,iphone_2022-09-09_1662801582-7246337,preprocessed
72,iphone_2022-09-06_1662802896-2983127,preprocessed
73,iphone_2022-09-06_1662804150-0016174,preprocessed
74,iphone_2022-09-06_1662811600-268036,collected
75,iphone_2022-09-06_2022-09-07,preprocessed
76,Ganesh_Chaturthi_2022-09-06_1662812661-5859096,preprocessed
77,iphone_2022-08-20_1662892936-8208256,collected
78,iphone_2022-08-31_1662895011-883758,collected
79,iphone_2022-09-09_1662913202-5429132,collected
80,iphone_2022-09-09_1662914426-3068311,preprocessed
81,Ganesh_Chaturthi_2022-09-06_1662916773-3224201,preprocessed
82,iphone_2022-08-13_1662914643-9324958,collected
83,Ganesh_Chaturthi_2022-06-12_1662917083-4389844,collected
84,Ganesh_Chaturthi_2022-09-06_1662926976-3748865,preprocessed
85,Ganesh_Chaturthi_2022-09-06_1662927018-476767,preprocessed
86,iphone_2022-06-12_1662965560-7953513,preprocessed
87,iphone_2022-06-12_1662966301-5705376,preprocessed
88,iphone_2022-06-12_1662974897-3892138,collected
89,iphone_2022-06-12_1662972554-4308078,preprocessed
90,iphone_2022-06-12_1662978941-3553245,collected
91,iphone_2022-06-12_1662973789-6765275,preprocessed
92,iphone_2022-06-12_1662980120-0896695,collected
93,Ganesh_Chaturthi_2022-09-09_1662985975-3414059,preprocessed
94,iphone_2022-06-12_1662986128-6710749,collected
95,Nupur_2022-05-20_1663002539-8325205,collected
96,Ganesh_Chaturthi_2022-05-20_1663002577-4517386,collected
97,Ganesh_Chaturthi_2022-05-21_1663002859-1629994,collected
98,Ganesh_Chaturthi_2022-05-20_1663003029-7003868,collected
99,Ganesh_Chaturthi_2022-05-20_1663003990-459523,collected
100,iphone_2022-06-12_1663007875-9054675,collected
101,iphone_2022-06-12_1663008102-4413834,collected
102,iphone_2022-06-12_1663008227-3094735,collected
103,iphone_2022-06-12_1663008162-628046,collected
104,iphone_2022-06-12_1663009470-7171557,collected
105,iphone_2022-06-12_1663009480-4701343,collected
106,iphone_2022-06-12_1663009476-657344,collected
107,iphone_2022-06-12_1663010725-8681939,collected
108,iphone_2022-06-12_1663011028-8608787,collected
109,iphone_2022-05-24_1663013457-516344,collected
110,iphone_2022-05-24_1663013477-8673418,collected
111,iphone_2022-05-24_1663013513-144326,collected
112,iphone_2022-05-24_1663013541-834618,collected
113,iphone_2022-06-12_1663042594-732953,collected
114,iphone_2022-06-12_1663042655-249668,collected
115,iphone_2022-06-12_1663042684-3716707,collected
116,iphone_2022-06-12_1663042719-2196474,collected
117,iphone_2022-06-12_1663042786-6820784,collected
118,iphone_2022-06-12_1663044564-759909,collected
119,iphone_2022-06-12_1663045395-8230236,collected
120,iphone_2022-06-12_1663048668-7055552,preprocessed
121,Ganesh_Chaturthi_2022-05-25_1663056629-66859,collected
122,Ganesh_Chaturthi_2022-05-25_1663058210-1975968,collected
123,Nupur_2022-06-01_1663065730-5776656,collected
124,iphone_2022-06-01_1663065754-8934362,collected
125,iphone_2022-06-12_1663145204-284241,collected
126,iphone_2022-09-05_1663151457-120312,collected
127,iphone_2022-09-05_1663151597-0636742,collected
128,iphone_2022-09-09_1663579874-382271,preprocessed
129,iphone_2022-07-27_1663580097-4662154,collected
130,iphone_2022-07-01_1663582604-6184921,collected
131,iphone_2022-07-01_1663582697-0903754,collected
132,iphone_2022-07-06_1663597291-5247786,preprocessed
133,iphone_2022-07-06_1663597516-2346232,collected
134,iphone_2022-07-06_1663648543-9229858,collected
135,iphone_2022-07-06_1663665364-13089,collected
136,iphone_2022-07-06_1663703362-9231052,collected
137,iphone_2022-07-06_1663755976-348976,preprocessed
138,iphone_2022-07-06_1663824006-283101,collected
139,iphone_2022-07-01_1663824154-568317,collected
140,iphone_2022-09-10_1664122114-1733847,preprocessed
141,iphone_2022-09-25_1664269170-406476,collected
142,iphone_2022-09-25_1664355183-3009984,preprocessed
143,iphone_2022-09-25_1664359606-0661561,preprocessed
144,iphone_2022-09-25_1664383518-384265,collected
145,iphone_2022-09-25_1664383584-0163302,preprocessed
146,iphone_2022-09-25_1664383638-054494,collected
147,iphone_2022-09-25_1664383926-7955017,preprocessed
148,iphone_2022-09-25_1664426595-048376,preprocessed
149,iphone_2022-09-25_1664430373-1452978,preprocessed
150,iphone_2022-09-25_1664430463-2299283,collected
151,iphone_2022-09-25_1664430577-3173344,collected
152,iphone_2022-09-26_1664430685-7688794,preprocessed
153,iphone_2022-09-01_1664431046-016071,preprocessed
154,iphone_2022-09-01_1664431243-4987528,collected
155,iphone_2022-09-01_1664431485-9009962,preprocessed
156,iphone_2022-09-01_1664431965-479755,collected
157,iphone_2022-09-01_1664432262-0706248,preprocessed
158,iphone_2022-09-01_1664446087-7009115,preprocessed
159,iphone_2022-08-25_1664472536-0510592,collected
160,iphone_2022-08-25_1664472577-2221005,preprocessed
161,iphone_2022-08-25_1664474230-7698421,preprocessed
162,iphone_2022-08-25_1664474288-43086,preprocessed
163,iphone_2022-08-25_1664514331-513837,preprocessed
164,iphone_2022-08-25_1664514631-1701312,preprocessed
165,iphone_2022-08-25_1664514756-0927632,preprocessed
166,iphone_2022-08-25_1664515119-432729,preprocessed
167,iphone_2022-08-25_1664518500-198515,preprocessed
168,iphone_2022-08-25_1664518530-8748426,preprocessed
169,iphone_2022-09-01_1664521784-9121602,preprocessed
170,iphone_2022-09-01_1664522593-0254722,preprocessed
171,iphone_2022-09-01_1664527879-28371,preprocessed
172,iphone_2022-09-01_1664527949-531781,preprocessed
173,iphone_2022-09-01_1664528421-4578865,preprocessed
174,iphone_2022-09-01_1664528500-0887945,preprocessed
175,iphone_2022-09-01_1664528942-9685707,preprocessed
176,iphone_2022-09-01_1664529000-2373466,preprocessed
177,iphone_2022-09-01_1664529141-2456896,preprocessed
178,iphone_2022-08-25_1665152957-232198,preprocessed
179,iphone_2022-08-25_1666806091-541728,pushed
180,iphone_2022-08-25_1666807420-0492272,pushed
181,iphone_2022-08-25_1666810519-1618075,pushed
182,iphone_2022-08-25_1666810721-367389,pushed
183,iphone_2021-08-25_1666837934-6851518,pushed
184,iphone_2021-08-25_1666852882-333745,pushed
185,iphone_2022-08-25_1666853065-823137,pushed
186,iphone_2021-08-25_1666858873-1945057,pushed
187,iphone_2021-08-25_1666860883-184088,pushed
188,iphone_2021-08-25_1667464737-1695945,pushed
189,iphone_2021-08-25_1667464825-7905128,collected
190,iphone_2021-08-25_1667466218-7052462,collected
191,iphone_2021-08-25_1667466377-1250772,collected
192,iphone_2021-08-25_1667466391-55503,collected
193,iphone_2021-08-25_1668048201-400818,collected
194,iphone_2021-08-25_1668048380-6214461,collected
195,iphone_2021-08-25_1668049854-5177264,collected
196,iphone_2022-09-25_1668051456-8262677,collected
197,iphone_2022-09-25_1668053905-770211,collected
198,iphone_2022-09-25_1668064430-7018948,collected
199,iphone_2022-09-25_1668704123-3932555,collected
200,iphone_2022-08-25_1668837490-11377,collected
201,iphone_2022-08-25_1668837793-8625035,collected
202,iphone_2022-08-25_1668838825-8716605,collected
203,iphone_2022-08-25_1668839207-4707558,pushed
204,iphone_2021-06-25_1668839677-5111034,pushed
205,iphone_2021-06-25_1668840519-9821234,collected
206,iphone_2021-06-25_1668840632-719648,collected
207,iphone_2021-06-25_1668840712-757855,preprocessed
208,iphone_2021-06-25_1668840803-8391254,preprocessed
209,iphone_2021-06-25_1668841279-06369,preprocessed
210,iphone_2021-06-25_1668841316-9014258,preprocessed
211,iphone_2021-06-25_1668841885-4390674,pushed
212,iphone_2021-06-25_1668843632-8875496,pushed
213,iphone_2021-06-25_1669035132-1713297,pushed
214,iphone_2021-06-25_1669035464-3169858,collected
215,iphone_2021-06-25_1669307405-9299667,pushed
216,iphone_2021-06-25_1669307712-308561,pushed
217,iphone_2021-06-25_1669311120-4058995,pushed
218,iphone_2021-06-25_1669311575-8474307,pushed
219,iphone_2021-06-25_1669708579-0937705,pushed
220,iphone_2021-06-25_1669711981-9792552,pushed
